Source,Target,Type,Weight
nonconvex quadratic programming,semidefinite programming,Undirected,1
parametric optimization,positive semidefinite relaxation,Undirected,1
parametric optimization,semidefinite programming,Undirected,1
positive semidefinite relaxation,semidefinite programming,Undirected,1
android,certificados digitales,Undirected,1
android,cifrado,Undirected,1
android,codificación,Undirected,1
android,dispositivo móvil,Undirected,1
android,llave segura,Undirected,1
android,plataforma de confianza,Undirected,1
android,privacidad,Undirected,1
android,seguridad,Undirected,1
android,teléfono inteligente,Undirected,1
android,zona segura,Undirected,1
certificados digitales,cifrado,Undirected,1
certificados digitales,codificación,Undirected,1
certificados digitales,dispositivo móvil,Undirected,1
certificados digitales,llave segura,Undirected,1
certificados digitales,plataforma de confianza,Undirected,1
certificados digitales,privacidad,Undirected,1
certificados digitales,seguridad,Undirected,1
certificados digitales,teléfono inteligente,Undirected,1
certificados digitales,zona segura,Undirected,1
cifrado,codificación,Undirected,1
cifrado,dispositivo móvil,Undirected,1
cifrado,llave segura,Undirected,1
cifrado,plataforma de confianza,Undirected,1
cifrado,privacidad,Undirected,1
cifrado,seguridad,Undirected,1
cifrado,teléfono inteligente,Undirected,1
cifrado,zona segura,Undirected,1
codificación,dispositivo móvil,Undirected,1
codificación,llave segura,Undirected,1
codificación,plataforma de confianza,Undirected,1
codificación,privacidad,Undirected,1
codificación,seguridad,Undirected,1
codificación,teléfono inteligente,Undirected,1
codificación,zona segura,Undirected,1
dispositivo móvil,llave segura,Undirected,1
dispositivo móvil,plataforma de confianza,Undirected,1
dispositivo móvil,privacidad,Undirected,1
dispositivo móvil,seguridad,Undirected,1
dispositivo móvil,teléfono inteligente,Undirected,1
dispositivo móvil,zona segura,Undirected,1
llave segura,plataforma de confianza,Undirected,1
llave segura,privacidad,Undirected,1
llave segura,seguridad,Undirected,1
llave segura,teléfono inteligente,Undirected,1
llave segura,zona segura,Undirected,1
plataforma de confianza,privacidad,Undirected,1
plataforma de confianza,seguridad,Undirected,1
plataforma de confianza,teléfono inteligente,Undirected,1
plataforma de confianza,zona segura,Undirected,1
privacidad,seguridad,Undirected,1
privacidad,teléfono inteligente,Undirected,1
privacidad,zona segura,Undirected,1
seguridad,teléfono inteligente,Undirected,1
seguridad,zona segura,Undirected,1
teléfono inteligente,zona segura,Undirected,1
birkhoff decomposition,coalgebra,Undirected,1
birkhoff decomposition,cones,Undirected,1
birkhoff decomposition,euler-maclaurin formula,Undirected,1
birkhoff decomposition,meromorphic functions,Undirected,1
birkhoff decomposition,renormalization,Undirected,1
coalgebra,cones,Undirected,1
coalgebra,euler-maclaurin formula,Undirected,1
coalgebra,meromorphic functions,Undirected,1
coalgebra,renormalization,Undirected,1
cones,euler-maclaurin formula,Undirected,1
cones,meromorphic functions,Undirected,1
cones,renormalization,Undirected,1
euler-maclaurin formula,meromorphic functions,Undirected,1
euler-maclaurin formula,renormalization,Undirected,1
meromorphic functions,renormalization,Undirected,1
bifurcación de hopf,modelo gray-scott,Undirected,1
algebraic tori,groupscheme,Undirected,1
algebraic tori,local fields,Undirected,1
algebraic tori,torus-based cryptography,Undirected,1
groupscheme,local fields,Undirected,1
groupscheme,torus-based cryptography,Undirected,1
local fields,torus-based cryptography,Undirected,1
cas,cálculo diferencial,Undirected,1
cas,generación de gráficos,Undirected,1
cas,resolución de problemas,Undirected,1
cas,sympy,Undirected,1
cálculo diferencial,generación de gráficos,Undirected,1
cálculo diferencial,resolución de problemas,Undirected,1
cálculo diferencial,sympy,Undirected,1
generación de gráficos,resolución de problemas,Undirected,1
generación de gráficos,sympy,Undirected,1
resolución de problemas,sympy,Undirected,1
agrupamiento,recuperación de información,Undirected,1
agrupamiento,xml,Undirected,1
recuperación de información,xml,Undirected,1
ecuaciones diferenciales,modelos sísmico,Undirected,1
ecuaciones diferenciales,método de series,Undirected,1
modelos sísmico,método de series,Undirected,1
automorfismo de frobenius,homomorfismos de inmersión,Undirected,1
filas de la tabla de pade´,rows of the pade´ table,Undirected,1
comprensión de textos,ecuaciones,Undirected,2
gestio´n de recursos humanos,incertidumbre,Undirected,1
gestio´n de recursos humanos,seleccio´n del personal,Undirected,1
gestio´n de recursos humanos,teor´ıa de los subconjuntos borrosos,Undirected,1
gestio´n de recursos humanos,toma de decisio´n,Undirected,1
incertidumbre,seleccio´n del personal,Undirected,1
incertidumbre,teor´ıa de los subconjuntos borrosos,Undirected,1
incertidumbre,toma de decisio´n,Undirected,1
seleccio´n del personal,teor´ıa de los subconjuntos borrosos,Undirected,1
seleccio´n del personal,toma de decisio´n,Undirected,1
teor´ıa de los subconjuntos borrosos,toma de decisio´n,Undirected,1
aprendizaje incremental,cambio de concepto,Undirected,1
aprendizaje incremental,clasificadores múltiples,Undirected,1
aprendizaje incremental,flujos de datos,Undirected,1
cambio de concepto,clasificadores múltiples,Undirected,1
cambio de concepto,flujos de datos,Undirected,2
clasificadores múltiples,flujos de datos,Undirected,1
coberturasterrestres,ima´genesdesate´lites,Undirected,1
coberturasterrestres,objetoshidrolo´gicos,Undirected,1
coberturasterrestres,reglasdeasociacio´nespacial,Undirected,1
coberturasterrestres,relacionesimpl´ıcitas,Undirected,1
ima´genesdesate´lites,objetoshidrolo´gicos,Undirected,1
ima´genesdesate´lites,reglasdeasociacio´nespacial,Undirected,1
ima´genesdesate´lites,relacionesimpl´ıcitas,Undirected,1
objetoshidrolo´gicos,reglasdeasociacio´nespacial,Undirected,1
objetoshidrolo´gicos,relacionesimpl´ıcitas,Undirected,1
reglasdeasociacio´nespacial,relacionesimpl´ıcitas,Undirected,1
elliptic problems,finite element method,Undirected,1
elliptic problems,freefem++,Undirected,1
elliptic problems,saddle-point problems,Undirected,1
finite element method,freefem++,Undirected,1
finite element method,saddle-point problems,Undirected,1
freefem++,saddle-point problems,Undirected,1
ecuaciones de stokes,ecuaciones diferenciales,Undirected,1
ecuaciones de stokes,elementos finitos,Undirected,1
ecuaciones de stokes,f´ısica delos fluidos,Undirected,1
ecuaciones diferenciales,elementos finitos,Undirected,1
ecuaciones diferenciales,f´ısica delos fluidos,Undirected,1
elementos finitos,f´ısica delos fluidos,Undirected,1
diferencias finitas,elementos finitos,Undirected,1
diferencias finitas,lotka-volterra,Undirected,1
elementos finitos,lotka-volterra,Undirected,1
elementos finitos,homogeneización,Undirected,1
finite difference method,finite element theory,Undirected,1
finite difference method,freefem++ software,Undirected,1
finite difference method,unsteady heat equation,Undirected,1
finite element theory,freefem++ software,Undirected,1
finite element theory,unsteady heat equation,Undirected,1
freefem++ software,unsteady heat equation,Undirected,1
freefem,método de los elementos finitos,Undirected,1
freefem,navier-stokes,Undirected,1
método de los elementos finitos,navier-stokes,Undirected,1
edp,mef,Undirected,1
edp,metododeelementosfinitos,Undirected,1
edp,problemadepoisson,Undirected,1
mef,metododeelementosfinitos,Undirected,1
mef,problemadepoisson,Undirected,1
metododeelementosfinitos,problemadepoisson,Undirected,1
generalizacio´n,integral de riemann,Undirected,1
generalizacio´n,integral definida,Undirected,1
integral de riemann,integral definida,Undirected,1
estrategia didáctica,motivación,Undirected,1
estrategia didáctica,problema,Undirected,1
estrategia didáctica,razonamiento lógico matemático,Undirected,1
motivación,problema,Undirected,1
motivación,razonamiento lógico matemático,Undirected,1
problema,razonamiento lógico matemático,Undirected,1
bma,regresión logística,Undirected,1
bma,selección de modelos,Undirected,1
regresión logística,selección de modelos,Undirected,1
asignación de proyectos,método húngaro,Undirected,1
