Source,Target,Type,Weight
Daniel Alejandro Valdés Pérez,Lauren Jimenez-Martin,Undirected,1
Daniel Alejandro Valdés Pérez,Ludwig Leonard Méndez,Undirected,1
Dra. Marta Lourdes Baguer Díaz-Romañach,Lauren Jimenez-Martin,Undirected,1
Dra. Marta Lourdes Baguer Díaz-Romañach,Ludwig Leonard Méndez,Undirected,1
Lauren Jimenez-Martin,Ludwig Leonard Méndez,Undirected,1
Daniel Alfonso Santiesteban,Diego Esteban Gutierrez Valencia,Undirected,1
Daniel Alfonso Santiesteban,Ricardo Abreu Blaya,Undirected,1
Diego Esteban Gutierrez Valencia,Ricardo Abreu Blaya,Undirected,1
Alicia Robbio Marrero,Roxana Cabrera Puig,Undirected,1
Fernando Raul Rodriguez Flores,José Jorge Rodríguez Salgado,Undirected,1
Lázaro Ramón Caraballo Rodríguez,Marlen Pérez Díaz,Undirected,1
Lázaro Ramón Caraballo Rodríguez,Rubén Orozco Morales,Undirected,1
Marlen Pérez Díaz,Rubén Orozco Morales,Undirected,1
Abelardo López Domínguez,Alisbet Martínez Bello,Undirected,1
Abelardo López Domínguez,Tania Diez Fumero,Undirected,2
Alisbet Martínez Bello,Tania Diez Fumero,Undirected,1
Jorge Luis Palomino Hernández,Lizet Sánchez Valdés,Undirected,1
Jorge Luis Palomino Hernández,Patricia Lorenzo-Luaces Álvarez,Undirected,1
Dagoberto Acosta Iglesias,Miguel Enrique Iglesias Martínez,Undirected,1
Dagoberto Acosta Iglesias,Milton Henry Perea,Undirected,1
Miguel Enrique Iglesias Martínez,Milton Henry Perea,Undirected,1
Cliffor Jerry Herrera-Castrillo,Isaura Lisbeth Hudiel Fuentes,Undirected,1
Cliffor Jerry Herrera-Castrillo,Jolbin José Mairena Aráuz,Undirected,1
Isaura Lisbeth Hudiel Fuentes,Jolbin José Mairena Aráuz,Undirected,1
Abelardo López Domínguez,Lissette María Pedroso Carracedo,Undirected,1
Lissette María Pedroso Carracedo,Tania Diez Fumero,Undirected,1
Carlos Jiménez Tejeda,Ernesto Alejandro López Caldalso,Undirected,2
Carlos Jiménez Tejeda,Juan Raúl Delgado Rubi,Undirected,2
Carlos Jiménez Tejeda,Nelson Tomás Hernández Reyes,Undirected,2
Ernesto Alejandro López Caldalso,Juan Raúl Delgado Rubi,Undirected,2
Ernesto Alejandro López Caldalso,Nelson Tomás Hernández Reyes,Undirected,2
Juan Raúl Delgado Rubi,Nelson Tomás Hernández Reyes,Undirected,2
Ernesto Roberto Fuentes Garí,JorgeFardales Pérez,Undirected,1
Ernesto Roberto Fuentes Garí,Miguel Salvat Quesada,Undirected,1
JorgeFardales Pérez,Miguel Salvat Quesada,Undirected,1
JuliettM.SuárezFerreira,RafaelBelloPérez,Undirected,1
JuliettM.SuárezFerreira,VíctorM.GarcíaMartínez,Undirected,1
JuliettM.SuárezFerreira,YailénMartínezJiménez,Undirected,1
RafaelBelloPérez,VíctorM.GarcíaMartínez,Undirected,1
RafaelBelloPérez,YailénMartínezJiménez,Undirected,1
VíctorM.GarcíaMartínez,YailénMartínezJiménez,Undirected,1
Lourdes Tarifa Lozano (Profesor Titular),Sissi Pérez Del Pino (Adiestrado),Undirected,1
Alain Pérez Alonso,Ariel Calderón Valdés,Undirected,1
Alain Pérez Alonso,Martha Beatriz Boggiano Castillo,Undirected,1
Alain Pérez Alonso,Ramiro Pèrez Vazquez,Undirected,1
Ariel Calderón Valdés,Martha Beatriz Boggiano Castillo,Undirected,1
Ariel Calderón Valdés,Ramiro Pèrez Vazquez,Undirected,1
Martha Beatriz Boggiano Castillo,Ramiro Pèrez Vazquez,Undirected,1
E. R.Morgado,N. Díaz,Undirected,1
E. R.Morgado,P.Freyre,Undirected,1
N. Díaz,P.Freyre,Undirected,1
Damny Magdaleno Guevara,Leticia Arco García,Undirected,1
Damny Magdaleno Guevara,Michel Artiles Egüe,Undirected,1
Leticia Arco García,Michel Artiles Egüe,Undirected,1
Gheisa Lucía Ferreira Lorenzo,Jarvin Antón Vargas,Undirected,1
Gheisa Lucía Ferreira Lorenzo,Luis Quintero Domínguez,Undirected,1
Gheisa Lucía Ferreira Lorenzo,Yaimara Granados Hondares,Undirected,1
Jarvin Antón Vargas,Luis Quintero Domínguez,Undirected,1
Jarvin Antón Vargas,Yaimara Granados Hondares,Undirected,1
Luis Quintero Domínguez,Yaimara Granados Hondares,Undirected,1
Benny JonRobaina,Daniel Alejandro Mesejo León,Undirected,1
Benny JonRobaina,Haydée Guillot Jiménez,Undirected,1
Benny JonRobaina,Javier GuillotJiménez,Undirected,1
Benny JonRobaina,Omar Salas García,Undirected,1
Benny JonRobaina,Víctor Manuel Mendiola Lau,Undirected,1
Daniel Alejandro Mesejo León,Haydée Guillot Jiménez,Undirected,1
Daniel Alejandro Mesejo León,Javier GuillotJiménez,Undirected,1
Daniel Alejandro Mesejo León,Omar Salas García,Undirected,1
Daniel Alejandro Mesejo León,Víctor Manuel Mendiola Lau,Undirected,1
Haydée Guillot Jiménez,Javier GuillotJiménez,Undirected,1
Haydée Guillot Jiménez,Omar Salas García,Undirected,1
Haydée Guillot Jiménez,Víctor Manuel Mendiola Lau,Undirected,1
Javier GuillotJiménez,Omar Salas García,Undirected,1
Javier GuillotJiménez,Víctor Manuel Mendiola Lau,Undirected,1
Omar Salas García,Víctor Manuel Mendiola Lau,Undirected,1
Ana D. Pérez,Ernesto A. Mederos Franqueiro,Undirected,1
Ana D. Pérez,Felix N. Abelardo,Undirected,1
Ana D. Pérez,Henrik Pestano Pino,Undirected,1
Ana D. Pérez,Javier Menéndez,Undirected,1
Ana D. Pérez,Jose A. Lugo García,Undirected,1
Ana D. Pérez,Manuel Vázquez Acosta,Undirected,1
Ana D. Pérez,Marielis Izquierdo Matias,Undirected,1
Ana D. Pérez,Michaell González Jorrín,Undirected,1
Ana D. Pérez,Pedro Y. Piñero Pérez,Undirected,1
Ana D. Pérez,Surayne Torres López,Undirected,1
Ernesto A. Mederos Franqueiro,Felix N. Abelardo,Undirected,1
Ernesto A. Mederos Franqueiro,Henrik Pestano Pino,Undirected,1
Ernesto A. Mederos Franqueiro,Javier Menéndez,Undirected,1
Ernesto A. Mederos Franqueiro,Jose A. Lugo García,Undirected,1
Ernesto A. Mederos Franqueiro,Manuel Vázquez Acosta,Undirected,1
Ernesto A. Mederos Franqueiro,Marielis Izquierdo Matias,Undirected,1
Ernesto A. Mederos Franqueiro,Michaell González Jorrín,Undirected,1
Ernesto A. Mederos Franqueiro,Pedro Y. Piñero Pérez,Undirected,1
Ernesto A. Mederos Franqueiro,Surayne Torres López,Undirected,1
Felix N. Abelardo,Henrik Pestano Pino,Undirected,1
Felix N. Abelardo,Javier Menéndez,Undirected,1
Felix N. Abelardo,Jose A. Lugo García,Undirected,1
Felix N. Abelardo,Manuel Vázquez Acosta,Undirected,1
Felix N. Abelardo,Marielis Izquierdo Matias,Undirected,1
Felix N. Abelardo,Michaell González Jorrín,Undirected,1
Felix N. Abelardo,Pedro Y. Piñero Pérez,Undirected,1
Felix N. Abelardo,Surayne Torres López,Undirected,1
Henrik Pestano Pino,Javier Menéndez,Undirected,1
Henrik Pestano Pino,Jose A. Lugo García,Undirected,1
Henrik Pestano Pino,Manuel Vázquez Acosta,Undirected,1
Henrik Pestano Pino,Marielis Izquierdo Matias,Undirected,1
Henrik Pestano Pino,Michaell González Jorrín,Undirected,1
Henrik Pestano Pino,Pedro Y. Piñero Pérez,Undirected,1
Henrik Pestano Pino,Surayne Torres López,Undirected,1
Javier Menéndez,Jose A. Lugo García,Undirected,1
Javier Menéndez,Manuel Vázquez Acosta,Undirected,1
Javier Menéndez,Marielis Izquierdo Matias,Undirected,1
