Source,Target
Sira M. Allende Alonso,"Departamento de Matemática Aplicada, Universidad de La Habana, Cuba"
William L. Sariol-Nuñez,"Departamento de Matemática Aplicada, Universidad de La Habana, Cuba"
Dr C. Miguel Cruz Ramírez,"Departamento de Matemática, Universidad de Holguín, Cuba"
Yanet Rodríguez Sarabia,"Centro de Investigaciones dela informática, Universidad Central 'Marta Abreu' de Las Villas, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Facultad 2, Universidaddelas Ciencias Informáticas, La Habana, Cuba"
Yanet Rodríguez Sarabia,"Departamentode Ciencias dela computación, Universidad Central Marta Abreude Las Villas, Villa Clara, Cuba"
Carlos Morell Pérez,"Centro de Investigaciones dela informática, Universidad Central 'Marta Abreu' de Las Villas, Villa Clara, Cuba"
Carlos Morell Pérez,"Facultad 2, Universidaddelas Ciencias Informáticas, La Habana, Cuba"
Carlos Morell Pérez,"Departamentode Ciencias dela computación, Universidad Central Marta Abreude Las Villas, Villa Clara, Cuba"
Héctor González,"Centro de Investigaciones dela informática, Universidad Central 'Marta Abreu' de Las Villas, Villa Clara, Cuba"
Héctor González,"Facultad 2, Universidaddelas Ciencias Informáticas, La Habana, Cuba"
Héctor González,"Departamentode Ciencias dela computación, Universidad Central Marta Abreude Las Villas, Villa Clara, Cuba"
Minerva Montero Díaz,"Dpto. de Matemática, Instituto de Cibernética, Matemática y Física, La Habana, Cuba"
Sandy Sánchez Domínguez,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Sandy Sánchez Domínguez,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Sandy Sánchez Domínguez,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Sandy Sánchez Domínguez,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Sandy Sánchez Domínguez,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Sandy Sánchez Domínguez,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
Isabel Martén Powell,"Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Isabel Martén Powell,"Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba"
Isabel Martén Powell,"Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba"
Isabel Martén Powell,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba"
Isabel Martén Powell,"Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba"
Isabel Martén Powell,"Universidad de Ciencias Médicas de Santiago de Cuba, Cuba"
